Player,Squad,Gls,Sh,SoT,Dist,xG,npxG,90s
Keyliane Abdallah,Marseille,0.0,0.0,0.0,,0.0,0.0,0.0
Himad Abdelli,Angers,6.0,24.0,6.0,24.1,5.6,2.5,27.6
Matthis Abline,Nantes,8.0,66.0,24.0,14.9,7.6,6.8,26.9
Zakaria Aboukhlal,Toulouse,7.0,59.0,24.0,14.5,10.1,8.5,20.5
Tammy Abraham,Roma,0.0,0.0,0.0,,0.0,0.0,0.0
Tammy Abraham,Milan,3.0,25.0,11.0,13.0,7.0,5.3,12.4
Akor Adams,Sevilla,0.0,2.0,1.0,22.2,0.4,0.4,1.5
Akor Adams,Montpellier,3.0,26.0,12.0,13.3,4.3,4.3,11.9
Che Adams,Torino,9.0,49.0,21.0,16.5,6.9,6.1,25.0
Junior Adamu,Freiburg,2.0,29.0,11.0,12.2,4.7,4.7,13.9
Karim Adeyemi,Dortmund,4.0,41.0,14.0,18.0,4.3,4.3,13.8
Simon Adingra,Brighton,2.0,24.0,7.0,16.1,2.2,2.2,9.2
Amine Adli,Leverkusen,2.0,17.0,5.0,13.9,2.3,2.3,6.7
Vasilije Adžić,Juventus,0.0,1.0,1.0,29.1,0.0,0.0,0.3
Oladapo Afolayan,St. Pauli,3.0,34.0,12.0,20.3,2.9,2.9,16.6
Jeremy Agbonifo,Lens,1.0,6.0,4.0,14.1,0.7,0.7,2.8
Naouirou Ahamada,Rennes,0.0,1.0,0.0,28.2,0.0,0.0,0.6
Erik Ahlstrand,St. Pauli,0.0,0.0,0.0,,0.0,0.0,0.5
Ayman Aiki,Saint-Étienne,0.0,3.0,1.0,23.5,0.1,0.1,1.4
Junior Ajayi,Hellas Verona,0.0,0.0,0.0,,0.0,0.0,0.1
Ludovic Ajorque,Brest,12.0,42.0,21.0,11.7,8.8,8.0,24.0
Ilias Akhomach,Villarreal,1.0,17.0,6.0,23.3,0.6,0.6,6.5
Maghnes Akliouche,Monaco,4.0,54.0,15.0,16.2,7.9,7.1,23.7
David Akpan Ankeye,Genoa,0.0,0.0,0.0,,0.0,0.0,0.5
Chuba Akpom,Lille,2.0,13.0,9.0,12.8,3.0,2.2,5.0
Andreas Albers,St. Pauli,1.0,3.0,1.0,11.9,0.6,0.6,0.7
Carlos Alcaraz,Everton,1.0,18.0,6.0,20.4,1.3,1.3,5.0
Carles Aleñá,Getafe,0.0,5.0,1.0,13.7,0.9,0.9,5.0
Carles Aleñá,Alavés,0.0,9.0,2.0,20.1,0.5,0.5,7.5
Alfon,Celta Vigo,4.0,42.0,16.0,17.2,3.9,3.9,12.7
Mohamed Ali Cho,Nice,3.0,35.0,15.0,17.4,4.0,4.0,17.8
Faride Alidou,Hellas Verona,0.0,1.0,0.0,32.2,0.0,0.0,0.8
Tadeo Allende,Celta Vigo,0.0,0.0,0.0,,0.0,0.0,0.0
Jim Allevinah,Angers,0.0,33.0,8.0,14.4,3.7,3.7,17.2
Thiago Almada,Lyon,1.0,18.0,4.0,20.7,1.8,1.8,6.7
Domingos André Ribeiro Almeida,Valencia,0.0,15.0,4.0,23.1,0.7,0.7,19.3
Iker Almena,Girona,0.0,1.0,0.0,24.7,0.0,0.0,0.5
Miguel Almirón,Newcastle Utd,0.0,6.0,2.0,14.2,0.5,0.5,1.7
Pontus Almqvist,Parma,1.0,26.0,9.0,17.4,2.1,2.1,12.4
Adrià Altimira,Leganés,0.0,6.0,2.0,22.8,0.3,0.3,14.1
Julián Álvarez,Atlético Madrid,15.0,62.0,30.0,18.6,12.3,9.1,24.2
Will Alves,Leicester City,0.0,0.0,0.0,,0.0,0.0,0.0
Amath,Valladolid,0.0,5.0,1.0,13.7,0.4,0.4,3.6
Samuel Amo-Ameyaw,Southampton,0.0,1.0,0.0,20.7,0.0,0.0,0.3
Samuel Amo-Ameyaw,Strasbourg,2.0,7.0,5.0,16.6,0.6,0.6,2.2
Mohamed Amoura,Wolfsburg,10.0,65.0,24.0,16.3,8.4,6.8,24.6
Marcos André,Valladolid,1.0,22.0,2.0,14.0,2.7,2.7,13.1
Lorenzo Anghelè,Juventus,0.0,0.0,0.0,,0.0,0.0,0.1
Leandro Antonetti,Sevilla,0.0,0.0,0.0,,0.0,0.0,0.1
Michail Antonio,West Ham,1.0,19.0,4.0,12.6,2.2,2.2,9.3
Antoniu,Espanyol,0.0,10.0,4.0,19.7,0.9,0.9,8.2
Antony,Betis,3.0,31.0,9.0,18.8,2.4,2.4,11.2
Anuar,Valladolid,2.0,9.0,4.0,13.6,1.5,1.5,15.9
Cameron Archer,Southampton,2.0,27.0,9.0,13.1,5.1,4.3,14.8
Adu Ares,Athletic Club,0.0,0.0,0.0,,0.0,0.0,0.2
Adam Armstrong,Southampton,2.0,25.0,7.0,16.6,3.3,2.3,13.9
José Arnaiz,Osasuna,0.0,5.0,2.0,21.8,0.3,0.3,1.4
Hákon Arnar Haraldsson,Lille,4.0,30.0,11.0,17.3,3.3,3.3,16.2
Marko Arnautović,Inter,4.0,9.0,6.0,8.6,2.6,2.6,4.0
Jann-Fiete Arp,Holstein Kiel,2.0,20.0,9.0,21.3,3.8,2.2,7.7
Arthur,Leverkusen,0.0,0.0,0.0,,0.0,0.0,6.2
Takuma Asano,Mallorca,2.0,24.0,7.0,13.5,2.3,2.3,10.6
Marco Asensio,Aston Villa,3.0,17.0,8.0,18.9,4.2,2.6,5.3
Marco Asensio,Paris S-G,2.0,26.0,14.0,14.5,5.6,5.6,6.9
Iago Aspas,Celta Vigo,9.0,41.0,16.0,22.3,8.4,3.6,17.5
Yaser Asprilla,Girona,3.0,34.0,9.0,23.1,1.7,1.7,12.5
Dehmaine Assoumani,Nantes,0.0,3.0,2.0,26.1,0.1,0.1,0.9
Arthur Atta,Udinese,0.0,21.0,7.0,19.9,1.1,1.1,10.3
Tommaso Augello,Cagliari,0.0,7.0,0.0,21.8,0.3,0.3,25.5
Ezequiel Ávila,Betis,2.0,20.0,10.0,17.9,1.5,1.5,7.5
Taiwo Awoniyi,Nott'ham Forest,1.0,10.0,4.0,12.6,2.1,2.1,4.2
Florian Ayé,Auxerre,2.0,10.0,3.0,14.2,1.7,1.7,5.7
André Ayew,Le Havre,4.0,19.0,7.0,10.8,4.2,4.2,13.7
Jordan Ayew,Crystal Palace,0.0,1.0,0.0,5.5,0.5,0.5,0.2
Jordan Ayew,Leicester City,4.0,25.0,7.0,18.4,2.8,2.0,14.6
Shavy Babicka,Toulouse,4.0,19.0,9.0,14.8,3.4,3.4,13.0
Aliou Badara Baldé,Bochum,0.0,4.0,1.0,26.5,0.2,0.2,1.0
Leon Bailey,Aston Villa,1.0,28.0,6.0,17.3,1.7,1.7,12.6
